Delta,Latency,Num_of_topics
0.1,0.2717452049255371,12
0.1,0.20631670951843262,12
0.101,0.3227541446685791,12
0.099,0.3243904113769531,12
0.1,0.3077554702758789,12
0.1,0.2877624034881592,12
0.1,0.23405241966247559,12
0.1,0.2977752685546875,12
0.1,0.3129110336303711,12
0.1,0.2772562503814697,12
0.1,0.26175785064697266,12
0.099,0.21696186065673828,12
0.101,0.29882383346557617,12
0.1,0.3157925605773926,12
0.1,0.2802269458770752,12
0.1,0.26250243186950684,12
0.1,0.19230175018310547,12
0.101,0.2724289894104004,12
0.099,0.33039307594299316,12
0.099,0.29381752014160156,12
0.1,0.2932596206665039,12
0.101,0.17814230918884277,12
0.101,0.2786135673522949,12
0.099,0.338468074798584,12
0.1,0.30455541610717773,12
0.1,0.2863657474517822,12
0.099,0.17840242385864258,12
0.101,0.2795889377593994,12
0.101,0.3399195671081543,12
0.099,0.3033304214477539,12
0.1,0.2824077606201172,12
0.099,0.21120357513427734,12
0.101,0.27666592597961426,12
0.099,0.33501768112182617,12
0.101,0.2981832027435303,12
0.1,0.2794473171234131,12
0.1,0.215989351272583,12
0.1,0.27443695068359375,12
0.1,0.3385040760040283,12
0.101,0.296292781829834,12
0.098,0.27738451957702637,12
0.1,0.23396944999694824,12
0.101,0.3016352653503418,12
0.1,0.3624746799468994,12
0.1,0.28444552421569824,12
0.1,0.2647099494934082,12
0.1,0.19489669799804688,12
0.1,0.2765178680419922,12
0.099,0.3330509662628174,12
0.1,0.31217336654663086,12
0.101,0.3142824172973633,12
0.1,0.21035528182983398,12
0.101,0.30724477767944336,12
0.099,0.3481118679046631,12
0.1,0.3125646114349365,12
0.1,0.2693369388580322,12
0.099,0.19178509712219238,12
0.101,0.2713432312011719,12
0.1,0.3298377990722656,12
0.1,0.30981874465942383,12
0.1,0.27513647079467773,12
0.1,0.20619440078735352,12
0.1,0.2684197425842285,12
0.101,0.33120179176330566,12
0.099,0.2952098846435547,12
0.1,0.2753732204437256,12
0.1,0.2081279754638672,12
0.099,0.2779731750488281,12
0.102,0.3352499008178711,12
0.099,0.29926538467407227,12
0.099,0.27773165702819824,12
0.101,0.20688080787658691,12
0.1,0.2796785831451416,12
0.1,0.3349146842956543,12
0.1,0.3052382469177246,12
0.1,0.28113794326782227,12
0.1,0.1845405101776123,12
0.1,0.2782478332519531,12
0.1,0.33547377586364746,12
0.1,0.2992706298828125,12
0.1,0.27886033058166504,12
0.1,0.17636585235595703,12
0.101,0.2759711742401123,12
0.099,0.33443450927734375,12
0.1,0.300800085067749,12
0.1,0.282045841217041,12
0.1,0.17636871337890625,12
0.1,0.2785184383392334,12
0.1,0.34097909927368164,12
0.1,0.30448293685913086,12
0.099,0.2897677421569824,12
0.101,0.20703744888305664,12
0.1,0.3071775436401367,12
0.1,0.3231027126312256,12
0.1,0.28833580017089844,12
0.1,0.26934242248535156,12
0.108,0.25990962982177734,12
0.091,0.2982022762298584,12
0.101,0.35903453826904297,12
0.099,0.27703857421875,12
0.101,0.2569315433502197,12
0.1,0.2174844741821289,12
0.101,0.30037975311279297,12
0.099,0.316697359085083,12
0.099,0.28235340118408203,12
0.101,0.26422643661499023,12
0.099,0.19411134719848633,12
0.102,0.2713191509246826,12
0.099,0.3300187587738037,12
0.1,0.29363250732421875,12
0.099,0.2766869068145752,12
0.101,0.20461702346801758,12
0.1,0.2704904079437256,12
0.1,0.33260607719421387,12
0.1,0.2972543239593506,12
0.1,0.28063035011291504,12
0.1,0.21098828315734863,12
0.1,0.3123166561126709,12
0.1,0.37437987327575684,12
0.1,0.289888858795166,12
0.099,0.2651360034942627,12
0.101,0.22026801109313965,12
0.1,0.26241230964660645,12
0.1,0.34895801544189453,12
0.1,0.28976917266845703,12
0.1,0.27021026611328125,12
0.1,0.20984792709350586,12
0.1,0.2754852771759033,12
0.1,0.3326435089111328,12
0.1,0.29659175872802734,12
0.099,0.27948641777038574,12
0.101,0.1780259609222412,12
0.1,0.2784273624420166,12
0.1,0.3349020481109619,12
0.1,0.30147814750671387,12
0.1,0.2835571765899658,12
0.1,0.17845559120178223,12
0.1,0.27874088287353516,12
0.099,0.3399670124053955,12
0.102,0.30171632766723633,12
0.099,0.30286669731140137,12
0.1,0.17369389533996582,12
0.101,0.27330684661865234,12
0.099,0.3310983180999756,12
0.1,0.2982034683227539,12
0.101,0.2800462245941162,12
0.098,0.17477917671203613,12
0.101,0.27634763717651367,12
0.1,0.3359949588775635,12
0.1,0.3010845184326172,12
0.099,0.297499418258667,13
0.101,0.2051715850830078,13
0.099,0.3037889003753662,13
0.1,0.326648473739624,13
0.101,0.29321765899658203,13
0.1,0.2762887477874756,13
0.101,0.20764946937561035,13
0.099,0.2715620994567871,13
0.1,0.3457622528076172,13
0.1,0.2977111339569092,13
0.099,0.27871012687683105,13
0.102,0.21233129501342773,13
0.099,0.31076931953430176,13
0.1,0.3268861770629883,13
0.1,0.29347991943359375,13
0.1,0.27349328994750977,13
0.1,0.22728466987609863,13
0.1,0.30539655685424805,13
0.1,0.32036852836608887,13
0.1,0.28382039070129395,13
0.099,0.2614610195159912,13
0.1,0.17197895050048828,13
0.1,0.2720794677734375,13
0.101,0.3522529602050781,13
0.1,0.3016340732574463,13
0.1,0.2828218936920166,13
0.099,0.23555922508239746,13
0.101,0.3364393711090088,13
0.1,0.3507068157196045,13
0.099,0.26839685440063477,13
0.101,0.25002217292785645,13
0.1,0.2326505184173584,13
0.1,0.29282689094543457,13
0.1,0.31085968017578125,13
