Delta,Latency
0.101,0.34135007858276367
0.099,0.32273316383361816
0.1,0.29898905754089355
0.101,0.21799755096435547
0.1,0.3086576461791992
0.099,0.3397500514984131
0.101,0.30649280548095703
0.099,0.2839357852935791
0.101,0.20479393005371094
0.1,0.2791633605957031
0.1,0.3373427391052246
0.099,0.29274773597717285
0.1,0.28470873832702637
0.1,0.21345829963684082
0.101,0.3144054412841797
0.099,0.3727133274078369
0.101,0.2934441566467285
0.1,0.27406954765319824
0.1,0.20307064056396484
0.1,0.29407191276550293
0.1,0.3501584529876709
0.099,0.3058168888092041
0.1,0.28394365310668945
0.101,0.21479058265686035
0.099,0.31423020362854004
0.1,0.3344228267669678
0.101,0.31926822662353516
0.1,0.2770531177520752
0.1,0.25371336936950684
0.1,0.2707059383392334
0.1,0.3707551956176758
0.099,0.29365086555480957
0.1,0.2754943370819092
0.1,0.18325138092041016
0.1,0.2845425605773926
0.101,0.3453497886657715
0.1,0.31069326400756836
0.099,0.2894110679626465
0.1,0.27228760719299316
0.101,0.3381524085998535
0.1,0.36280083656311035
0.1,0.32779502868652344
0.1,0.2576577663421631
0.1,0.19617104530334473
0.1,0.29497551918029785
0.1,0.339186429977417
0.1,0.3058817386627197
0.099,0.29646944999694824
0.101,0.1960906982421875
0.099,0.2962021827697754
0.101,0.3643312454223633
0.1,0.3156416416168213
0.1,0.2939009666442871
0.1,0.1893150806427002
0.1,0.2884523868560791
0.1,0.34943318367004395
0.1,0.3128054141998291
0.1,0.29510927200317383
0.099,0.1966991424560547
0.1,0.3012092113494873
0.101,0.39053964614868164
0.1,0.32042860984802246
0.1,0.31173133850097656
0.1,0.21706485748291016
0.099,0.3000624179840088
0.101,0.3413679599761963
0.1,0.3643147945404053
0.1,0.46338796615600586
0.1,0.21060442924499512
0.1,0.2821023464202881
0.1,0.34275150299072266
0.1,0.3090507984161377
0.099,0.284132719039917
0.1,0.21329545974731445
0.101,0.31682729721069336
0.1,0.3438405990600586
0.099,0.30537867546081543
0.101,0.28928661346435547
0.1,0.18765664100646973
0.099,0.29048657417297363
0.101,0.35114574432373047
0.1,0.31476378440856934
0.1,0.29486870765686035
0.1,0.24768590927124023
0.1,0.3135859966278076
0.1,0.33380627632141113
0.1,0.2941272258758545
0.1,0.27851104736328125
0.1,0.20402812957763672
0.1,0.28537726402282715
0.101,0.3453054428100586
0.099,0.31385326385498047
0.099,0.29394984245300293
0.1,0.2514955997467041
0.102,0.3539741039276123
0.098,0.32329463958740234
0.101,0.2919926643371582
0.1,0.2670743465423584
0.101,0.23429083824157715
0.098,0.31835412979125977
0.101,0.36888599395751953
0.099,0.3365135192871094
0.101,0.2636082172393799
0.1,0.19630217552185059
0.1,0.29806947708129883
0.101,0.3603794574737549
0.098,0.3218355178833008
0.101,0.2758629322052002
0.099,0.18827319145202637
0.101,0.29185986518859863
0.1,0.3506174087524414
0.099,0.30878210067749023
0.101,0.29796290397644043
0.099,0.20468759536743164
0.101,0.28687357902526855
0.1,0.3504936695098877
0.1,0.31696557998657227
0.1,0.29804301261901855
0.099,0.18894004821777344
0.101,0.29065823554992676
0.1,0.35135436058044434
0.1,0.31701207160949707
0.099,0.2957327365875244
0.101,0.21984553337097168
0.099,0.3064572811126709
0.101,0.37877464294433594
0.1,0.29938292503356934
0.099,0.2882723808288574
0.101,0.23105525970458984
0.099,0.3106849193572998
0.1,0.369307279586792
0.101,0.2913086414337158
0.099,0.2998619079589844
0.1,0.20708346366882324
0.101,0.2958717346191406
0.101,0.35254859924316406
0.098,0.31312084197998047
0.101,0.29329395294189453
0.099,0.22818827629089355
0.101,0.3327643871307373
0.1,0.4273340702056885
